,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,3.3333333333333333e-06,,,0.5,0.0009
bootstrap_features,,0.0,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.5088095238095238,0.8358333333333332,0.4492857142857142,0.4442857142857143,0.5692857142857143,0.8483333333333334,0.800952380952381,0.5567261904761904,0.8174999999999999,0.8875,0.9125,0.8567857142857143,0.8667857142857143,0.8692857142857143,0.8741666666666668,0.7299999999999999,0.9258333333333333
f1_train,0.870648995182664,1.0,0.5950322801407216,1.0,1.0,1.0,0.9620570728291318,1.0,1.0,1.0,0.9809383753501401,0.9328721360339008,1.0,0.9241127989657402,1.0,0.8870414544176153,0.9649975759534584
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,90,45.0,,,,40,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.525,0.85,0.45,0.475,0.5875,0.8625,0.8,0.575,0.8375,0.9,0.925,0.8625,0.875,0.875,0.8875,0.775,0.9375
tol,,,,,,,,1.25e-06,1e-08,,0.0001,0.0001,,,,0.0001,3.3333333333333335e-05
tr_time,0.3672570000000004,0.1629459999999998,0.017993999999999843,0.014023999999999148,0.016690000000000538,0.07484299999999955,0.02076500000000081,1.8977310000000003,27.703771000000003,0.05785899999999877,0.38561399999999857,0.784536000000001,0.7601040000000001,0.010310999999999737,0.200762000000001,0.2006699999999988,0.908513000000001
train,0.871875,1.0,0.596875,1.0,1.0,1.0,0.9625,1.0,1.0,1.0,0.98125,0.934375,1.0,0.925,1.0,0.89375,0.965625
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
