,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,0.8,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.3,,,,,,,,,,2.5e-06,,,,0.5,0.0008
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,1.0,1.0,0.24302600472813238,0.9722633744855967,0.9147474747474749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9437710437710438,1.0,1.0,1.0
f1_train,1.0,1.0,0.27421488638792463,1.0,1.0,1.0,0.9859703090336893,1.0,1.0,1.0,0.9859233602986441,0.9858725318417683,1.0,0.9716461062411765,0.9510700465798426,1.0,0.9858725318417683,0.9929723149840312
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.4,,,,,,,0.5,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,log
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,60,40.0,,,,20,,,,,,,,,,20,,
n_neighbors,,,,,,,,,,5,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,random,,,,,,,,,,,,,
test,1.0,1.0,0.3611111111111111,0.9722222222222222,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0
tol,,,,,,,,2.5e-06,1e-08,,0.0001,0.0001,,,0.0001,,0.0001,3.3333333333333335e-05
tr_time,0.27642399999999956,0.04857900000000015,0.018072000000000088,0.011173999999999573,0.00943100000000019,0.05249300000000012,0.01578999999999997,0.23861699999999963,2215.473316,0.05069400000000002,0.08844999999999992,0.4096220000000006,0.28937100000000004,0.006936999999999749,0.08378399999999964,0.10109999999999975,0.05075899999999933,0.5724150000000003
train,1.0,1.0,0.4225352112676056,1.0,1.0,1.0,0.9859154929577465,1.0,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,0.971830985915493,0.9507042253521126,1.0,0.9859154929577465,0.9929577464788732
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
