,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,0.5,0.001
bootstrap_features,,0.0,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.46869047619047616,0.7891666666666666,0.0012195121951219514,0.6146428571428572,0.35845238095238097,0.8366666666666667,0.7816666666666666,0.48468253968253966,0.7283333333333333,0.8533333333333333,0.6625,0.579404761904762,0.7491666666666666,0.7604761904761904,0.8216666666666667,0.46273809523809534,0.6758333333333333
f1_train,0.6343253836414255,1.0,0.040134994807892004,1.0,1.0,1.0,0.9234768907563027,1.0,1.0,1.0,0.7870854684960722,0.7196499626104889,1.0,0.8127323989649842,1.0,0.5703338167213352,0.7984248166189712
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.2,,,,,,,0.1,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,80,25.0,,,,45,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,random,,,,,,,,,,,,
test,0.5125,0.8125,0.025,0.6125,0.425,0.85,0.7875,0.5,0.75,0.8625,0.7,0.65,0.75,0.7625,0.825,0.55,0.6875
tol,,,,,,,,1.25e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.1111111111111112e-05
tr_time,0.32761399999999985,0.07632200000000022,0.021447000000000216,0.024359999999999715,0.012637000000000675,0.07248199999999994,0.020494000000000234,2.124111000000001,25.220018000000003,0.06581499999999973,0.3443940000000003,0.7910110000000001,1.4135299999999997,0.01160099999999975,0.10050800000000004,0.2720880000000001,0.9976259999999999
train,0.659375,1.0,0.046875,1.0,1.0,1.0,0.921875,1.0,1.0,1.0,0.80625,0.753125,1.0,0.8125,1.0,0.63125,0.8
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
